CampsiteCode,month,capacity_month_mean,avgtemp_month_mean
Grafaiai1,11,725.5,3.5
Grafaiai1,12,727.7777777777778,0.0
Ironvaliant,1,301.0,4.0
Ironvaliant,2,301.0,4.5
Ironvaliant,3,301.0,6.5
Ironvaliant,4,301.0,8.5
Ironvaliant,5,301.0,11.5
Ironvaliant,6,301.0,14.0
Ironvaliant,7,301.0,16.0
Ironvaliant,8,301.0,15.5
Ironvaliant,9,301.0,13.0
Ironvaliant,10,301.0,10.0
Ironvaliant,11,301.0,6.5
Ironvaliant,12,301.0,4.5
Dragonite,1,313.0,2.0
Dragonite,2,313.0,2.5
Dragonite,3,313.0,4.5
Dragonite,4,313.0,7.0
Dragonite,5,313.0,11.0
Dragonite,6,313.0,14.0
Dragonite,7,313.0,16.0
Dragonite,8,313.0,15.5
Dragonite,9,313.0,12.5
Dragonite,10,313.0,9.0
Dragonite,11,313.0,5.0
Dragonite,12,313.0,3.0
Passimian,1,445.0,7.0
Passimian,2,445.0,8.0
Passimian,3,445.0,11.0
Passimian,4,445.0,14.0
Passimian,5,445.0,18.0
Passimian,6,445.0,22.5
Passimian,7,445.0,25.5
Passimian,8,445.0,25.0
Passimian,9,445.0,21.0
Passimian,10,445.0,16.0
Passimian,11,445.0,10.5
Passimian,12,445.0,7.5
Hawlucha,1,242.0,6.5
Hawlucha,2,242.0,8.0
Hawlucha,3,242.0,11.0
Hawlucha,4,242.0,13.5
Hawlucha,5,242.0,17.5
Hawlucha,6,242.0,23.0
Hawlucha,7,242.0,27.0
Hawlucha,8,242.0,26.5
Hawlucha,9,242.0,22.0
Hawlucha,10,242.0,15.5
Hawlucha,11,242.0,10.0
Hawlucha,12,242.0,7.0
Eiscue1,1,516.0,7.0
Eiscue1,2,516.0,8.0
Eiscue1,3,516.0,11.0
Eiscue1,4,516.0,14.0
Eiscue1,5,516.0,18.0
Eiscue1,6,516.0,22.5
Eiscue1,7,516.0,25.5
Eiscue1,8,516.0,25.0
Eiscue1,9,516.0,21.0
Eiscue1,10,516.0,16.0
Eiscue1,11,516.0,10.5
Eiscue1,12,516.0,7.5
Tyrunt,1,429.0,0.5
Tyrunt,2,429.0,1.8000000000000385
Tyrunt,3,429.0,6.200000000000134
Tyrunt,4,429.0,10.5
Tyrunt,5,429.0,15.200000000000456
Tyrunt,6,429.0,18.599999999999334
Tyrunt,7,429.0,20.5
Tyrunt,8,429.0,19.799999999999567
Tyrunt,9,429.0,15.5
Tyrunt,10,429.0,10.200000000000323
Tyrunt,11,429.0,5.100000000000161
Tyrunt,12,429.0,1.5
Orthworm,1,411.0,-3.0
Orthworm,2,411.0,-3.5
Orthworm,3,411.0,0.5
Orthworm,4,411.0,5.5
Orthworm,5,411.0,11.5
Orthworm,6,411.0,16.0
Orthworm,7,411.0,18.5
Orthworm,8,411.0,17.5
Orthworm,9,411.0,12.5
Orthworm,10,411.0,7.5
Orthworm,11,411.0,2.5
Orthworm,12,411.0,-1.0
Rhydon,1,303.0,-2.0
Rhydon,2,303.0,-1.0
Rhydon,3,303.0,3.5
Rhydon,4,303.0,9.5
Rhydon,5,303.0,15.0
Rhydon,6,303.0,18.5
Rhydon,7,303.0,20.5
Rhydon,8,303.0,19.799999999999567
Rhydon,9,303.0,14.799999999999496
Rhydon,10,303.0,9.0
Rhydon,11,303.0,3.5
Rhydon,12,303.0,0.0
Steenee1,1,498.0,0.5
Steenee1,2,498.0,1.8000000000000385
Steenee1,3,498.0,6.200000000000134
Steenee1,4,498.0,10.5
Steenee1,5,498.0,15.200000000000456
Steenee1,6,498.0,18.599999999999334
Steenee1,7,498.0,20.5
Steenee1,8,498.0,19.799999999999567
Steenee1,9,498.0,15.5
Steenee1,10,498.0,10.200000000000323
Steenee1,11,498.0,5.100000000000161
Steenee1,12,498.0,1.5
Flamigo,1,326.0,-3.0
Flamigo,2,326.0,-3.5
Flamigo,3,326.0,0.5
Flamigo,4,326.0,5.5
Flamigo,5,326.0,11.5
Flamigo,6,326.0,16.0
Flamigo,7,326.0,18.5
